#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	87.9907	1423450	0.5221	100.0000	1423450	408375	408436	0.5253	87	15.28
scaffold_2	87.1749	1395634	0.5210	100.0000	1395634	399329	399256	0.5241	87	14.75
scaffold_3	88.0390	1325521	0.5221	100.0000	1325521	379492	379373	0.5253	87	15.23
scaffold_4	86.2502	1264152	0.5186	100.0000	1264152	359092	359123	0.5227	86	15.23
scaffold_5	87.2891	1191888	0.5215	100.0000	1191888	340461	340546	0.5254	87	15.47
scaffold_6	87.6939	1185653	0.5194	100.0000	1185653	338578	338300	0.5226	87	16.08
scaffold_7	88.3606	1001587	0.5201	100.0000	1001587	286631	286646	0.5231	87	16.45
scaffold_8	86.7820	976138	0.5182	100.0000	976138	276761	276696	0.5216	86	16.08
scaffold_9	87.5481	814649	0.5207	100.0000	814649	234605	234373	0.5234	87	14.62
scaffold_10	88.7562	804784	0.5204	100.0000	804784	231667	231585	0.5234	88	15.80
scaffold_11	89.6662	791863	0.5192	100.0000	791863	226096	225954	0.5222	87	20.70
scaffold_12	86.3664	789689	0.5205	100.0000	789689	224736	224758	0.5239	86	14.83
scaffold_13	87.3735	771071	0.5194	100.0000	771071	218794	218883	0.5228	86	16.76
scaffold_14	90.0961	766372	0.5200	100.0000	766372	219213	219216	0.5234	88	19.62
scaffold_15	86.9329	676939	0.5210	100.0000	676939	193904	194020	0.5247	87	15.34
scaffold_16	89.4481	666778	0.5215	100.0000	666778	195788	195640	0.5247	89	14.90
scaffold_17	86.7609	586251	0.5198	100.0000	586251	166906	166747	0.5232	86	14.63
scaffold_18	87.5076	582426	0.5196	100.0000	582426	167869	167793	0.5226	87	16.59
scaffold_19	88.2887	576075	0.5224	100.0000	576075	165157	165113	0.5251	88	15.21
scaffold_20	88.7612	531798	0.5211	100.0000	531798	152771	152762	0.5241	88	16.06
scaffold_21	87.8827	481263	0.5195	100.0000	481263	137898	137807	0.5223	87	15.12
scaffold_22	86.6709	475858	0.5180	100.0000	475858	136085	135976	0.5210	86	14.54
scaffold_23	87.8621	423388	0.5206	100.0000	423388	122164	122075	0.5233	87	14.64
scaffold_24	89.5118	416965	0.5200	100.0000	416965	118040	118017	0.5234	88	18.74
scaffold_25	88.9890	396868	0.5207	100.0000	396868	115847	115769	0.5238	88	15.05
scaffold_26	87.1694	395557	0.5207	100.0000	395557	112634	112626	0.5233	87	14.10
scaffold_27	91.5766	393361	0.5209	100.0000	393361	111954	111919	0.5237	88	21.98
scaffold_28	87.2111	392771	0.5196	100.0000	392771	113317	113224	0.5226	87	14.66
scaffold_29	89.0800	385958	0.5177	100.0000	385958	112602	112612	0.5223	89	15.92
scaffold_30	88.9558	377302	0.5193	100.0000	377302	110665	110690	0.5228	89	15.43
scaffold_31	86.4576	369191	0.5195	100.0000	369191	105182	105300	0.5226	86	14.59
scaffold_32	87.0113	347772	0.5202	100.0000	347772	100000	99934	0.5229	86	14.38
scaffold_33	87.7733	347071	0.5213	100.0000	347071	99516	99428	0.5249	87	15.56
scaffold_34	88.1171	346940	0.5206	100.0000	346940	99672	99550	0.5237	87	16.08
scaffold_35	86.3055	343802	0.5103	100.0000	343802	97347	97350	0.5162	86	16.31
scaffold_36	87.1191	319529	0.5178	100.0000	319529	92083	92051	0.5206	87	14.48
scaffold_37	86.9314	311520	0.5208	100.0000	311520	89483	89499	0.5254	87	15.52
scaffold_38	86.6797	298671	0.5204	100.0000	298671	85513	85527	0.5234	86	14.49
scaffold_39	87.6546	298080	0.5242	100.0000	298080	85340	85341	0.5274	87	15.54
scaffold_40	88.2368	283161	0.5166	100.0000	283161	81342	81307	0.5195	88	15.40
scaffold_41	87.1474	245250	0.5202	100.0000	245250	70693	70723	0.5229	87	14.79
scaffold_42	85.9191	237898	0.5195	100.0000	237898	67643	67651	0.5235	86	15.24
